A1,A2,A3,A4,A5,A6,R
99.60044500288497,73.06287246449747,1.2861533629346278,78.67953071072183,42.132409283745176,44.30122833344539,253.5026492774836
85.88721049561153,23.794944159553765,21.191568192848067,83.35118015674124,54.76088817774157,42.18913924046712,205.03498203790156
82.63391405349292,10.15382217488342,0.3356672212911471,27.988855862695527,15.707988668116023,63.70561933851936,66.97330379307226
80.2201585639844,55.15018809647434,9.39564998721476,93.98938824178542,7.005493650248107,44.60266263354109,233.43517136521265
85.12205309192265,77.79719099000542,10.050006722329673,64.19179860167833,37.417451752881014,26.18503709344713,247.98015625796052
95.99487930963144,46.59164980552647,64.60175208449967,2.5687696367787227,68.06015195948028,56.94088000619588,52.77964564519364
12.6760315308157,37.36508556557434,38.09634177448603,54.16294238181217,87.3435029091517,7.6011241625251635,169.46633680003052
79.91767567779539,67.76296010270467,11.445676852384567,48.0606597830583,27.618700241169936,55.35094047884588,239.85405817783445
18.08779845311601,74.3043715607891,18.376839848179326,15.222995923019855,73.3408666425837,27.296291705501176,109.53843560141767
15.669260989284195,3.0392656890655734,16.64583684538409,94.3879945920616,25.88315861695539,41.96926130261522,206.894200215992
91.90894532694483,22.056641848157742,38.9743420196759,21.632392821792877,17.76525834712035,12.062554685019345,55.70046648657
82.12988777345309,52.74347850782214,11.600966923495704,84.58647374290736,74.31622876581775,81.58004648646313,245.9281036658677
38.66312397342303,99.42621838221228,9.14501522117993,71.22028102669834,4.948840784552688,49.477012036864146,128.66536320768734
73.66473063443489,24.95751239032603,50.5542632271204,79.48921600302747,31.486894082506346,61.379145661035736,181.01925786380937
28.776887183794166,37.49179563713667,60.08143846832051,50.30498379295671,75.50308740538625,36.2893694506787,153.4621287696838
34.126648518392756,84.11193093938898,83.27597092123649,88.0851600345189,89.47480574855322,89.92906095221448,376.7825195203096
94.92703832817743,76.55181454157177,85.59547526663583,84.76912795109759,22.768277183135442,47.566468410262395,536.901759253669
8.284187156670663,37.8695411403244,81.07975479317396,32.34603317711129,18.974952353711327,32.34795838600903,77.9745330018205
91.99090304484172,64.8632264037698,62.17096401953467,11.734601418499825,87.8421079797733,19.193317011008716,447.5756316804757
88.30849661014213,56.02544748655956,86.72637281205871,71.83619492995302,35.79486716064255,56.607540806045265,524.3135463675608
62.149223124547895,89.07781145977005,43.012092620339956,49.739586580352324,62.60819470917658,50.09962921857358,305.91538198255955
28.753628915794195,24.228153484977256,62.38161410380161,42.814237122506945,87.86240567958478,40.52171811529603,147.13215822072323
40.929600637743654,11.299774110527917,97.76409793366935,85.65190340139311,95.04854899069247,91.22543075222718,237.83779109627096
21.14041852542573,41.28326755119869,85.28357980822668,42.80472366682737,20.16292840265693,60.58999649154082,99.7234972155146
6.091781418195619,79.58282743166411,68.5087111216905,33.75995130458889,47.862324871320915,95.75880120226785,255.00994247140576
58.80497508931697,71.63349332667217,88.13776805054835,14.762995548420854,55.200495695238295,52.31656796432447,455.4946259002116
9.244255741200192,17.454555133551764,33.43751700568753,56.56457256073515,90.02649134823184,59.5733812402172,176.14768906523258
84.09857026206922,64.31552060121196,60.496689818077755,54.975509617521936,28.628441835875506,96.95809468051051,421.9848400184452
39.94502953581507,83.7003478279833,12.28226037461566,67.75217962437095,1.4223215672937828,82.06278250560555,142.8504851506925
93.32650723362107,46.27653695417128,18.49398029172862,85.73266467241382,43.62051903235089,51.86022283169621,201.99969266747325
53.777622630610075,26.158729706695105,12.13179994540361,65.66151538803723,43.014871873655125,25.713561519107053,161.43344108763304
79.98929993608246,91.39005540162867,13.291303820243861,97.58068750637162,53.354539418159696,0.6249146686134854,246.49281321105968
49.5066838448234,32.674469240289895,98.69130324754958,70.26347255062048,89.31093303498572,47.77798311056753,203.04459822573097
